Date,Open,High,Low,Close,Adj Close,Volume,
2020-06-08,1,1.01,0.9941,0.9993,0.9993,"63,073,913",
2020-06-09,1,1.02,0.9961,1,1,"80,453,538",
2020-06-10,1,1.01,0.986,0.9992,0.9992,"71,379,555",
2020-06-11,0.9991,1.02,0.9975,1,1,"149,684,454",
2020-06-12,1,1,0.9991,1,1,"64,389,075",
2020-06-13,1,1,1,1,1,"51,279,966",
2020-06-14,1,1.01,0.9972,1.01,1.01,"47,429,350",
2020-06-15,1.01,1.01,0.9984,1,1,"133,415,251",
2020-06-16,1,1,0.9978,1,1,"68,878,900",
2020-06-17,1,1.01,0.9995,1,1,"76,040,318",
2020-06-18,1,1.01,0.9994,1,1,"66,638,964",
2020-06-19,1.01,1.01,0.9965,0.9973,0.9973,"92,324,436",
2020-06-20,0.9973,1.01,0.991,0.9989,0.9989,"71,262,411",
2020-06-21,0.9985,1.01,0.9966,1,1,"56,186,653",
2020-06-22,1,1,0.9896,0.9971,0.9971,"77,519,288",
2020-06-23,0.9972,1,0.9909,1,1,"73,233,696",
2020-06-24,1,1.01,1,1,1,"100,630,843",
2020-06-25,1,1.01,0.9934,1,1,"78,453,298",
2020-06-26,1,1.01,0.998,1,1,"87,592,249",
2020-06-27,1,1.01,0.9984,1,1,"70,912,192",
2020-06-28,1,1.01,0.9985,1,1,"48,029,897",
2020-06-29,1,1.01,0.9978,0.9999,0.9999,"70,791,990",
2020-06-30,1,1.01,0.998,1,1,"54,013,007",
2020-07-01,1,1.01,0.9973,0.9999,0.9999,"66,671,208",
2020-07-02,1,1.01,0.9982,1.01,1.01,"79,129,545",
2020-07-03,1.01,1.01,0.9977,1,1,"51,715,952",
2020-07-04,1,1.01,0.9944,0.9998,0.9998,"45,757,779",
2020-07-05,0.9993,1.01,0.9955,0.9984,0.9984,"55,752,835",
2020-07-06,0.9984,1,0.9935,0.9984,0.9984,"86,202,632",
2020-07-07,0.9982,1,0.9919,0.9999,0.9999,"75,741,748",
2020-07-08,0.9999,1,0.9946,0.9992,0.9992,"107,483,664",
2020-07-09,0.9992,1.01,0.998,1,1,"95,833,006",
2020-07-10,1,1.01,0.9972,0.9998,0.9998,"86,877,417",
2020-07-11,0.9999,1,0.9969,1,1,"51,805,205",
2020-07-12,1,1,0.997,0.998,0.998,"69,007,016",
2020-07-13,0.998,1.01,0.9949,1,1,"103,104,351",
2020-07-14,1,1.01,0.9971,0.999,0.999,"86,627,267",
2020-07-15,0.9984,1,0.9972,1,1,"82,632,174",
2020-07-16,0.9999,1.01,0.9984,1,1,"96,506,703",
2020-07-17,1,1.01,0.997,0.9997,0.9997,"69,362,761",
2020-07-18,0.9996,1.01,0.9964,0.9996,0.9996,"66,264,052",
2020-07-19,0.9994,1,0.9949,0.9974,0.9974,"76,188,739",
2020-07-20,0.9987,1.01,0.9947,0.9993,0.9993,"94,906,003",
2020-07-21,0.9989,1.01,0.9925,0.9976,0.9976,"110,789,522",
2020-07-22,0.998,1,0.9896,0.999,0.999,"113,190,061",
